name,no_of_settled_bet,market_dict,league_dict,most_frequent_market,market_amount,market %,most_frequent_league,league_amount,league %
Lao03t15,30,"{'Asian Over/Under': 6, 'Asian Handicap - Corners': 1, 'Asian Handicap - Half Time': 2, 'Asian Handicap': 11, 'Match Odds - Half Time': 3, 'Match Odds': 6, 'Asian Over/Under - Half Time': 1}","{'Eredivisie': 1, 'Bundesliga': 2, 'AFC Nations Cup': 1, 'Mexico Primera Division': 5, 'Liga de Expansion': 3, 'England Premier League': 7, 'Club Friendly Games': 2, 'Serie A': 2, 'Copa de Primera': 1, 'Primera Division': 1, 'Saudi Professional League': 1, 'Serbia Super Liga': 1, 'Copa Sudamericana': 3}",Asian Handicap,11.0,36.67,England Premier League,7.0,23.33
Lao03t16,34,"{'Match Odds': 7, 'Asian Handicap': 14, 'Asian Over/Under - Corners - Half Time': 2, 'Asian Handicap - Half Time - Bookings': 1, 'Asian Over/Under': 7, 'Match Odds - Half Time': 2, 'Asian Over/Under - Half Time': 1}","{'Eredivisie': 1, 'Primera Division': 3, 'Primeira Liga': 3, 'AFC Nations Cup': 2, 'England Premier League': 6, 'Mexico Primera Division': 1, 'Club Friendly Games': 1, 'Serie A': 2, 'UEFA Champions League': 2, 'England Championship': 3, 'CONCACAF Champions League': 2, 'Serbia Super Liga': 1, 'Egypt Premier League': 1, 'Scotland Premier League': 1, 'Liga I': 1, 'Greece Super League': 1, 'Liga de Expansion': 2, 'Copa Sudamericana': 1}",Asian Handicap,14.0,41.18,England Premier League,6.0,17.65
Lao03t17,20,"{'Asian Over/Under - Bookings': 1, 'Asian Over/Under': 6, 'Match Odds - Half Time': 1, 'Match Odds': 2, 'Asian Handicap': 10}","{'England Premier League': 4, 'Mexico Primera Division': 3, 'AFC Nations Cup': 1, 'England Championship': 1, 'Club Friendly Games': 1, 'Ligue 2': 1, 'Bundesliga': 2, 'CONCACAF Champions League': 1, 'Major League Soccer': 1, 'Serie A': 3, 'Indonesia Liga 1': 2}",Asian Handicap,10.0,50.0,England Premier League,4.0,20.0
Lao03t2,6,"{'Asian Over/Under - Half Time': 2, 'Asian Handicap': 3, 'Asian Handicap - Half Time': 1}","{'Victorian (Premier League)': 3, 'La Liga Profesional': 1, 'Indonesia Liga 1': 1, 'Westfield W-League': 1}",Asian Handicap,3.0,50.0,Victorian (Premier League),3.0,50.0
Lao03t20,27,"{'Asian Handicap': 16, 'Asian Handicap - Corners - Half Time': 1, 'Asian Over/Under - Corners': 1, 'Asian Over/Under - Corners - Half Time': 1, 'Asian Handicap - Half Time': 1, 'Asian Handicap - Corners': 1, 'Match Odds - Half Time': 3, 'Match Odds': 2, 'Asian Over/Under': 1}","{'Eredivisie': 1, 'England Premier League': 6, 'Africa Cup of Nations': 1, 'AFC Nations Cup': 3, 'Colombia Primera A': 1, 'First Division A': 7, 'Primera Division': 2, 'Ligue 2': 1, 'Serie A': 2, 'Liga I': 2, 'Greece Super League': 1}",Asian Handicap,16.0,59.26,First Division A,7.0,25.93
Lao03t21,5,"{'Asian Over/Under': 2, 'Asian Handicap': 2, 'Match Odds - Half Time': 1}","{'Liga de Expansion': 1, 'K-League Classic (First League)': 2, 'New South Wales (Premier League)': 1, 'Copa Sudamericana': 1}",Asian Over/Under,2.0,40.0,K-League Classic (First League),2.0,40.0
Lao03t22,6,"{'Asian Over/Under - Half Time': 1, 'Asian Handicap - Half Time': 2, 'Asian Over/Under': 2, 'Asian Handicap': 1}","{'La Liga Profesional': 1, 'K-League Classic (First League)': 2, 'New South Wales (Premier League)': 1, 'Copa Libertadores, Qualification': 1, 'CONCACAF Champions League': 1}",Asian Handicap - Half Time,2.0,33.33,K-League Classic (First League),2.0,33.33
Lao03t23,4,"{'Asian Handicap - Half Time': 1, 'Asian Over/Under': 1, 'Match Odds': 2}","{'K-League Classic (First League)': 2, 'New South Wales (Premier League)': 1, 'Copa Sudamericana': 1}",Match Odds,2.0,50.0,K-League Classic (First League),2.0,50.0
Lao03t24,5,"{'Asian Over/Under - Half Time': 1, 'Asian Over/Under': 1, 'Asian Handicap': 2, 'Match Odds - Half Time': 1}","{'Primera Division': 1, 'Liga de Expansion': 1, 'K-League Classic (First League)': 1, 'New South Wales (Premier League)': 1, 'Copa Sudamericana': 1}",Asian Handicap,2.0,40.0,Primera Division,1.0,20.0
Lao03t25,6,"{'Asian Handicap': 4, 'Match Odds': 1, 'Asian Over/Under - Half Time': 1}","{'England Premier League': 1, 'Liga de Expansion': 1, 'K-League Classic (First League)': 1, 'New South Wales (Premier League)': 1, 'Copa Sudamericana': 2}",Asian Handicap,4.0,66.67,Copa Sudamericana,2.0,33.33
Lao03t3,5,"{'Asian Handicap': 2, 'Asian Over/Under': 1, 'Match Odds': 2}","{'Segunda Division': 1, 'CONCACAF Champions League': 1, 'England Premier League': 2, 'Serie A': 1}",Asian Handicap,2.0,40.0,England Premier League,2.0,40.0
Lao03t4,16,"{'Asian Handicap': 3, 'Match Odds': 2, 'Asian Over/Under': 4, 'Match Odds - Half Time': 4, 'Asian Handicap - Half Time': 1, 'Asian Over/Under - Half Time': 2}","{'Hyundai A-League': 6, 'Super Lig': 8, 'Bundesliga': 1, 'England Premier League': 1}",Asian Over/Under,4.0,25.0,Super Lig,8.0,50.0
Lao03t5,28,"{'Match Odds - Half Time': 4, 'Asian Handicap': 12, 'Match Odds': 5, 'Asian Handicap - Bookings': 1, 'Asian Over/Under - Corners': 1, 'Asian Over/Under - Half Time - Bookings': 1, 'Asian Handicap - Half Time': 2, 'Asian Over/Under': 2}","{'Bundesliga': 1, 'Super Lig': 3, 'Primeira Liga': 1, 'Primera Division': 1, 'England Premier League': 6, 'AFC Nations Cup': 2, 'Liga de Expansion': 1, 'Club Friendly Games': 2, 'Cyprus 1st Division': 1, 'Indian Super League': 4, 'Serie A': 4, 'Mexico Primera Division': 1, 'Ligue 1': 1}",Asian Handicap,12.0,42.86,England Premier League,6.0,21.43
Lao03t6,20,"{'Asian Over/Under - Half Time': 2, 'Asian Handicap': 8, 'Match Odds': 3, 'Asian Over/Under': 2, 'Match Odds - Half Time': 2, 'Asian Handicap - Half Time': 3}","{'Club Friendly Games': 1, 'Colombia Primera A': 2, 'Mexico Primera Division': 1, 'Liga de Expansion': 1, 'Indonesia Liga 1': 11, 'CONCACAF Gold Cup (Women)': 1, 'V-League': 1, 'K-League (Second League)': 1, 'K-League Classic (First League)': 1}",Asian Handicap,8.0,40.0,Indonesia Liga 1,11.0,55.0
Lao03t7,23,"{'Match Odds': 3, 'Asian Handicap': 5, 'Asian Handicap - Half Time': 7, 'Match Odds - Half Time': 2, 'Asian Over/Under': 4, 'Asian Over/Under - Half Time': 2}","{'Indonesia Liga 1': 8, 'Club Friendly Games': 4, 'Colombia Primera A': 3, 'Mexico Primera Division': 3, 'Indian Super League': 1, 'CONCACAF Champions League': 1, 'Pro League': 1, 'Westfield W-League': 1, 'K-League Classic (First League)': 1}",Asian Handicap - Half Time,7.0,30.43,Indonesia Liga 1,8.0,34.78
Lao03t8,23,"{'Match Odds': 3, 'Match Odds - Half Time': 4, 'Asian Over/Under - Half Time': 5, 'Asian Handicap': 4, 'Asian Handicap - Half Time': 2, 'Asian Over/Under': 4, 'Asian Handicap - Corners': 1}","{'Club Friendly Games': 2, 'AFC Nations Cup': 1, 'Colombia Primera A': 6, 'Mexico Primera Division': 2, 'Indonesia Liga 1': 8, 'Liga de Expansion': 1, 'J.League': 1, 'K-League (Second League)': 1, 'Victorian (Premier League)': 1}",Asian Over/Under - Half Time,5.0,21.74,Indonesia Liga 1,8.0,34.78
Lao03t9,25,"{'Asian Handicap - Half Time': 6, 'Match Odds': 5, 'Asian Handicap': 5, 'Match Odds - Half Time': 2, 'Asian Over/Under - Half Time': 3, 'Asian Over/Under': 4}","{'Liga de Expansion': 1, 'Mexico Primera Division': 2, 'Indian Super League': 3, 'Club Friendly Games': 3, 'Indonesia Liga 1': 11, 'Victorian (Premier League)': 1, 'Colombia Primera A': 1, 'CONCACAF Gold Cup (Women)': 1, 'K-League (Second League)': 1, 'K-League Classic (First League)': 1}",Asian Handicap - Half Time,6.0,24.0,Indonesia Liga 1,11.0,44.0
Liang006,2,"{'Asian Handicap - Half Time': 1, 'Asian Handicap': 1}",{'Superettan': 2},Asian Handicap - Half Time,1.0,50.0,Superettan,2.0,100.0
Liang05,0,{},{},,,,,,
Liang1,1,{'Asian Over/Under': 1},{'Ukraine Premier League': 1},Asian Over/Under,1.0,100.0,Ukraine Premier League,1.0,100.0
Liang2,2,{'Asian Over/Under': 2},{'Ukraine Premier League': 2},Asian Over/Under,2.0,100.0,Ukraine Premier League,2.0,100.0
Light88,4,"{'Asian Handicap': 1, 'Asian Over/Under': 3}","{'Ligue 1': 1, 'First Division A': 1, 'Liga I': 1, 'Bundesliga': 1}",Asian Over/Under,3.0,75.0,Ligue 1,1.0,25.0
LucyTest23,3,{'Asian Handicap': 3},{'Hyundai A-League': 3},Asian Handicap,3.0,100.0,Hyundai A-League,3.0,100.0
MY19,3,"{'Asian Over/Under': 2, 'Asian Handicap': 1}",{'CONMEBOL Copa America': 3},Asian Over/Under,2.0,66.67,CONMEBOL Copa America,3.0,100.0
Mantou13,7,"{'Asian Handicap': 6, 'Asian Over/Under': 1}",{'England Premier League': 7},Asian Handicap,6.0,85.71,England Premier League,7.0,100.0
Maxman88,12,"{'Asian Over/Under': 6, 'Asian Handicap': 6}","{'England Premier League': 4, 'Serie A': 2, 'Bundesliga': 5, 'Primera Division': 1}",Asian Over/Under,6.0,50.0,Bundesliga,5.0,41.67
Mazz001,351,"{'Asian Handicap': 155, 'Asian Over/Under': 196}","{'Major League Soccer': 26, 'UEFA Nations League': 10, 'Segunda Division': 22, 'Africa Cup of Nations, Qualification': 5, 'Brasilero Serie B': 3, '2. Bundesliga': 13, 'Ligue 2': 13, 'La Liga Profesional': 7, 'England Championship': 11, 'Serie B': 18, 'K-League Classic (First League)': 1, 'Scotland Premier League': 7, 'Ekstraklasa': 10, 'tipp3-Bundesliga': 10, 'Primeira Liga': 14, 'League One': 1, 'Superettan': 9, 'Ykkosliiga': 1, 'Eredivisie': 10, 'Greece Super League': 1, 'Allsvenskan': 15, 'Super Lig': 12, 'EFL Cup': 6, 'First Division A': 10, 'Eerste Divisie': 10, 'ADEG Erste Liga': 3, 'J.League 2': 2, 'AFC Champions League Two': 1, 'UEFA Champions League': 6, 'UEFA Europa League': 12, 'UEFA Europa Conference League': 12, 'J.League': 4, 'England Premier League': 7, 'Eliteserien': 8, 'Serie A': 3, 'Axpo Super League': 8, 'Saudi Professional League': 1, 'Brasilero Serie A': 3, 'Gambrinus Liga': 4, 'Danish Superliga': 5, 'Veikkausliiga': 4, 'Ligue 1': 1, 'World Cup Qualification, AFC': 4, 'World Cup Qualification, CONMEBOL': 3, 'Premier League': 2, 'Colombia Primera A': 1, 'Russia Premier League': 3, 'AFC Champions League Elite': 3, 'Russian Cup': 2, 'Primera Division': 2, 'Bundesliga': 1, 'DFB Pokal': 1}",Asian Over/Under,196.0,55.84,Major League Soccer,26.0,7.41
MeINR01,4,"{'Asian Over/Under': 2, 'Asian Handicap': 2}","{'Colombia Primera A': 1, 'UEFA Europa League': 1, 'Victorian (Premier League)': 1, 'UEFA Champions League': 1}",Asian Over/Under,2.0,50.0,Colombia Primera A,1.0,25.0
Mg01,79,"{'Asian Over/Under': 28, 'Asian Handicap': 38, 'Asian Over/Under - Half Time': 2, 'Match 1X2 - Half Time': 4, 'Match 1X2': 1, 'Asian Handicap - Half Time': 2, 'Asian Handicap - Corners': 1, 'Asian Handicap - Half Time - Corners': 1, 'Asian Over/Under - Corners': 2}","{'Africa Cup of Nations, Qualification': 1, 'U21 European Championship, Qualification': 1, 'UEFA Nations League': 1, 'CONCACAF Nations League': 2, 'International Friendly Games': 1, 'UEFA Champions League (Women)': 5, 'Chile Primera Division': 2, 'Brasilero Serie A': 1, 'Pro League': 1, 'Bundesliga': 3, 'Eerste Divisie': 2, 'J.League': 1, 'Chinese Super League': 1, 'Qatar Stars League': 2, 'Presidents Cup': 1, 'Saudi Professional League': 3, 'Premier League': 1, 'Primera Division': 5, 'Ecuador Primera A': 1, 'Peru Liga 1': 1, 'La Liga Profesional': 2, 'Liga de Expansion': 2, 'J.League 2': 2, 'Segunda Division': 2, 'Axpo Super League': 1, 'Hyundai A-League': 1, 'Indian Super League': 1, 'Allsvenskan': 2, 'Super Lig': 2, 'Major League Soccer': 1, 'England Premier League': 2, 'League Two': 1, 'Scotland Premier League': 1, 'League One': 1, 'Ligue 1': 2, 'Serie A': 1, 'Ukraine Premier League': 1, ""Women's Super League"": 1, 'Thai League': 1, '2. Bundesliga': 2, 'First Division A': 3, 'Primera Division Femenina': 1, 'Serie B': 1, 'Eliteserien': 1, 'Bulgaria Premier League': 1, 'Egypt Super Cup': 1, 'Brasilero Serie B': 1, 'Taca de Portugal': 1, 'Adeccoligaen': 1, 'AFC Champions League Elite': 2, 'Campeonato Uruguayo': 1}",Asian Handicap,38.0,48.1,UEFA Champions League (Women),5.0,6.33
Mg02,65,"{'Asian Handicap': 21, 'Asian Handicap - Half Time': 3, 'Asian Over/Under - Half Time': 5, 'Asian Over/Under': 32, 'Match 1X2 - Half Time': 1, 'Asian Handicap - Half Time - Corners': 1, 'Asian Handicap - Corners': 2}","{'U21 European Championship, Qualification': 2, 'UEFA Nations League': 1, 'UEFA Champions League (Women)': 3, 'Paraguay Cup': 1, 'Colombia Primera A': 1, 'Pro League': 1, 'Peru Liga 1': 1, 'Premier League Cup (U21)': 1, 'Brasilero Serie A': 1, 'Hyundai A-League': 1, 'K-League Classic (First League)': 1, 'Saudi Professional League': 5, 'Danish Superliga': 2, 'Ligue 2': 1, 'Bundesliga': 6, 'ADEG Erste Liga': 1, 'La Liga Profesional': 3, 'Liga MX': 1, 'Veikkausliiga': 1, 'J.League': 1, 'Scotland Premier League': 1, '2. Bundesliga': 1, '3.Liga': 1, 'Primera Division': 2, 'England Premier League': 3, 'Presidents Cup': 2, 'League One': 1, 'Urvalsdeild': 1, 'Super Lig': 2, 'England Championship': 1, 'Serie A': 5, 'First Division A': 1, 'K-League (Second League)': 1, 'Primera Division Femenina': 1, 'Allsvenskan': 1, 'Ekstraklasa': 1, 'Thai League': 1, 'Eredivisie': 1, 'Bulgaria Premier League': 1, 'Indian Super League': 1, 'Greece Super League': 1}",Asian Over/Under,32.0,49.23,Bundesliga,6.0,9.23
Mg03,75,"{'Asian Over/Under': 40, 'Asian Handicap': 28, 'Asian Handicap - Half Time': 2, 'Asian Over/Under - Half Time - Corners': 2, 'Asian Over/Under - Corners': 2, 'Match 1X2': 1}","{'U21 European Championship, Qualification': 2, 'UEFA Nations League': 1, 'World Cup Qualification, AFC': 1, 'Colombia Primera A': 1, 'CONCACAF Nations League': 1, 'World Cup Qualification, CONMEBOL': 1, 'UEFA Champions League (Women)': 1, 'Brasilero Serie B': 1, 'Peru Liga 1': 5, 'Brasilero Serie A': 1, 'Presidents Cup': 1, 'Eerste Divisie': 1, 'J.League': 1, 'Indian Super League': 2, 'Qatar Stars League': 2, 'Viasat Sport Divisionen (1st Division)': 1, 'Ekstraklasa': 2, 'Ligue 2': 1, 'Bundesliga': 3, 'Liga I': 2, 'Ecuador Primera A': 1, 'First Division A': 1, 'J.League 2': 2, '2. Bundesliga': 1, 'Veikkausliiga': 1, '3.Liga': 2, 'Paraguay Primera Division': 1, 'Serie A': 4, 'Primera Division': 1, 'Serie B': 1, 'Conference National': 1, 'Russia Premier League': 2, 'England Premier League': 3, 'League One': 2, 'Super Lig': 1, 'Gambrinus Liga': 1, 'Saudi Professional League': 1, 'Eredivisie': 2, 'Taca de Portugal': 3, 'Eliteserien': 1, 'Danish Superliga': 2, 'Axpo Super League': 1, 'Ligue 1': 1, 'Bulgaria Premier League': 1, 'Argentina Primera B Nacional': 3, 'Urvalsdeild': 1, 'AFC Champions League Elite': 2, 'Ligat Ha Al': 1}",Asian Over/Under,40.0,53.33,Peru Liga 1,5.0,6.67
Mg04,79,"{'Asian Handicap': 36, 'Asian Over/Under - Half Time': 4, 'Asian Handicap - Half Time': 1, 'Asian Over/Under': 36, 'Match 1X2 - Half Time': 1, 'Asian Over/Under - Corners': 1}","{'Campeonato Uruguayo': 1, 'UEFA Nations League': 1, 'Colombia Primera A': 1, 'CONCACAF Nations League': 1, 'UEFA Champions League (Women)': 1, 'Chile Primera Division': 1, 'Brasilero Serie A': 2, 'Presidents Cup': 2, 'Peru Liga 1': 2, 'Brasilero Serie B': 1, 'Eerste Divisie': 2, 'Liga I': 1, 'J.League': 2, 'K-League Classic (First League)': 1, 'Russia Premier League': 3, 'Saudi Professional League': 2, 'Qatar Stars League': 1, '3.Liga': 3, 'Viasat Sport Divisionen (1st Division)': 1, 'First Division A': 6, 'Bolivian Primera Division': 1, 'La Liga Profesional': 1, 'Liga de Expansion': 1, 'Liga MX': 1, 'K-League (Second League)': 1, 'J.League 3': 1, 'Azerbaijan Premier League': 1, 'Taca de Portugal': 4, 'England Premier League': 3, 'Serie A': 2, 'Bundesliga': 2, 'Indian Super League': 3, 'Allsvenskan': 1, 'Conference National': 1, 'J.League 2': 1, 'Hyundai A-League': 1, 'Eliteserien': 1, 'Eredivisie': 3, 'Spain Rfef Primera - Group 2': 1, 'Scotland Premier League': 2, 'Ekstraklasa': 3, 'Super Lig': 1, ""Women's Super League"": 1, 'Primera Division': 2, 'Axpo Super League': 1, 'AFC Champions League Elite': 2, 'Premier League Cup (U21)': 1, 'Adeccoligaen': 1}",Asian Handicap,36.0,45.57,First Division A,6.0,7.59
Mg05,73,"{'Asian Handicap': 34, 'Match 1X2 - Half Time': 1, 'Asian Over/Under': 29, 'Asian Handicap - Half Time': 3, 'Asian Over/Under - Half Time - Corners': 3, 'Match 1X2': 1, 'Asian Handicap - Corners': 1, 'Asian Over/Under - Corners': 1}","{'U21 European Championship, Qualification': 2, 'UEFA Nations League': 2, 'CONCACAF Nations League': 1, 'Kazakhstan Premier League': 1, 'UEFA Champions League (Women)': 1, 'Paraguay Cup': 1, 'Colombia Cup': 1, 'Thai League': 3, 'Liga de Expansion': 1, 'Russia Premier League': 3, 'Chinese Super League': 2, 'J.League': 2, 'Eerste Divisie': 2, 'Presidents Cup': 1, 'Saudi Professional League': 1, 'Ekstraklasa': 1, 'Qatar Stars League': 1, 'Bundesliga': 5, 'Peru Liga 1': 1, 'Veikkausliiga': 2, 'Major League Soccer': 1, 'Indian Super League': 1, 'Taca de Portugal': 4, 'Eredivisie': 3, 'England Premier League': 6, 'Urvalsdeild': 1, 'League One': 1, 'Cyprus 1st Division': 1, 'Serie A': 2, 'First Division A': 2, 'Ligue 1': 3, 'Brasilero Serie A': 1, 'tipp3-Bundesliga': 1, 'Gambrinus Liga': 1, '2. Bundesliga': 1, 'Eliteserien': 2, 'Segunda Division': 1, 'Super Lig': 2, 'Allsvenskan': 1, 'AFC Champions League Elite': 2, 'Adeccoligaen': 1, 'Primera Division': 1}",Asian Handicap,34.0,46.58,England Premier League,6.0,8.22
Mg06,45,"{'Asian Over/Under - Half Time': 1, 'Asian Handicap': 22, 'Asian Over/Under': 19, 'Asian Handicap - Half Time': 2, 'Asian Handicap - Half Time - Corners': 1}","{'UEFA Nations League': 2, 'World Cup Qualification, AFC': 1, 'World Cup Qualification, CONMEBOL': 1, 'UEFA Champions League (Women)': 1, 'Chile Cup': 1, 'Brasilero Serie A': 2, 'Peru Liga 1': 3, 'Campeonato Uruguayo': 1, 'Brasilero Serie B': 1, 'Eerste Divisie': 1, 'Indonesia Liga 1': 1, 'J.League': 1, 'Chinese Super League': 1, 'Serbia Super Liga': 1, 'Ligue 2': 2, 'ADEG Erste Liga': 1, '2. Bundesliga': 2, 'Qatar Stars League': 1, 'Ligue 1': 3, 'Challenge League': 1, 'Bundesliga': 1, 'Taca de Portugal': 2, 'Liga MX': 1, 'J.League 2': 1, 'Superettan': 1, 'Primera Division Femenina': 1, 'Primera Division': 1, 'England Championship': 1, 'Presidents Cup': 1, 'Scotland Premier League': 1, 'Segunda Division': 2, 'Eliteserien': 1, 'Conference National': 1, 'Serie A': 1, 'England Premier League': 1}",Asian Handicap,22.0,48.89,Peru Liga 1,3.0,6.67
Mg07,55,"{'Asian Over/Under': 25, 'Asian Handicap': 23, 'Asian Over/Under - Half Time': 3, 'Match 1X2': 1, 'Asian Handicap - Half Time - Corners': 1, 'Asian Handicap - Half Time': 1, 'Asian Over/Under - Half Time - Corners': 1}","{'U21 European Championship, Qualification': 1, 'World Cup Qualification, AFC': 1, 'UEFA Nations League': 3, 'CONCACAF Nations League': 1, 'World Cup Qualification, CONMEBOL': 1, 'UEFA Champions League (Women)': 2, 'Chile Cup': 1, 'Peru Liga 1': 2, 'Brasilero Serie B': 3, 'Brasilero Serie A': 1, 'Chinese Super League': 2, 'Unibet I liga': 1, 'Hyundai A-League': 1, 'J.League': 1, 'Eerste Divisie': 1, 'La Liga Profesional': 1, 'Bundesliga (Women)': 1, 'TFF 1. Lig': 1, 'Qatar Stars League': 2, 'First Division A': 1, 'Serie C Girone B': 1, 'Bundesliga': 1, 'Taca de Portugal': 3, 'Challenge League': 1, 'Liga de Expansion': 1, 'Liga MX': 1, 'J.League 2': 1, 'Superettan': 1, 'Serie B': 2, 'Ykkosliiga': 1, 'England Premier League': 5, 'Primera Division': 2, '3.Liga': 1, 'Indian Super League': 1, 'tipp3-Bundesliga': 1, 'Scotland Premier League': 1, 'Segunda Division': 1, 'Serie A': 1, 'Presidents Cup': 1}",Asian Over/Under,25.0,45.45,England Premier League,5.0,9.09
Mg08,77,"{'Asian Handicap': 34, 'Asian Over/Under': 37, 'Asian Handicap - Corners': 1, 'Asian Over/Under - Corners': 2, 'Asian Handicap - Half Time - Corners': 2, 'Match 1X2 - Half Time': 1}","{'UEFA Nations League': 3, 'World Cup Qualification, CONMEBOL': 1, 'CONCACAF Nations League': 1, 'Kazakhstan Premier League': 1, 'Paraguay Primera Division': 1, 'Brasilero Serie B': 1, 'Campeonato Uruguayo': 1, 'UEFA Champions League (Women)': 1, 'Colombia Cup': 1, 'Brasilero Serie A': 1, 'K-League Classic (First League)': 2, 'Presidents Cup': 1, 'Indian Super League': 3, 'Ligue 2': 3, 'Saudi Professional League': 6, 'Qatar Stars League': 1, 'Taca de Portugal': 4, 'La Liga Profesional': 1, 'Liga de Expansion': 1, 'J.League 2': 3, 'Veikkausliiga': 1, 'Premier League': 1, 'England Premier League': 5, 'Allsvenskan': 3, 'Primera Division': 4, 'Bundesliga': 5, 'League One': 1, 'Serie A': 2, 'Axpo Super League': 1, 'Ekstraklasa': 1, 'Ecuador Primera A': 1, 'Scotland Premier League': 1, '2. Bundesliga': 1, 'Bundesliga (Women)': 1, 'Eliteserien': 1, 'Spain Rfef Primera - Group 2': 1, 'England Championship': 2, 'Belgium Challenger Pro League': 1, 'Ligue 1': 1, 'Super Lig': 1, 'AFC Champions League Elite': 2, 'Danish Superliga': 1, 'Eerste Divisie': 2}",Asian Over/Under,37.0,48.05,Saudi Professional League,6.0,7.79
Micro1234,88,"{'Asian Over/Under': 66, 'Asian Handicap': 20, 'Asian Over/Under - Corners': 1, 'Match 1X2': 1}","{'Greece Super League': 4, 'Serie A': 6, 'UEFA Europa League': 3, 'La Liga Profesional': 5, 'League One': 3, 'Peru Liga 1': 1, 'J.League': 2, 'Primera Division': 1, 'Mexico Primera Division': 2, 'J.League 2': 1, '2. Bundesliga': 2, 'K-League Classic (First League)': 7, 'Danish Superliga': 1, 'Premier League': 2, 'Chinese Super League': 1, 'UEFA Europa Conference League': 1, 'Major League Soccer': 8, 'Allsvenskan': 3, 'Ligue 2': 1, 'Hyundai A-League': 2, 'Saudi Professional League': 2, 'Liga I': 1, 'Meistriliiga': 1, 'K-League (Second League)': 1, 'Primeira Liga': 1, 'Eredivisie': 1, 'Bundesliga': 1, 'Super Lig': 2, 'Scotland Premier League': 3, 'Bulgaria Premier League': 1, 'Veikkausliiga': 3, 'Ecuador Primera A': 2, 'World Cup Qualification, CAF': 4, 'Superettan': 1, 'UEFA Europa League, Qualification': 1, 'Brasilero Serie B': 1, 'Urvalsdeild': 2, 'Russia Premier League': 1, 'Liga MX': 1, 'EFL Cup': 1, 'US Open Cup': 1}",Asian Over/Under,66.0,75.0,Major League Soccer,8.0,9.09
Ming8888,26,"{'Asian Over/Under': 19, 'Asian Handicap': 7}","{'UEFA Champions League': 1, 'Veikkausliiga': 8, 'Allsvenskan': 1, 'Saudi Professional League': 4, 'Superettan': 3, 'Russian Cup': 1, 'Super Lig': 1, 'Eerste Divisie': 2, '2. Bundesliga': 1, 'Ligue 2': 1, 'Ekstraklasa': 1, 'La Liga Profesional': 1, 'Primeira Liga': 1}",Asian Over/Under,19.0,73.08,Veikkausliiga,8.0,30.77
Moda1995,138,"{'Asian Over/Under': 64, 'Asian Handicap': 70, 'Match Odds': 4}","{'Serie B': 3, 'Copa do Brasil': 1, 'Brasileiro Feminino': 7, 'Croatia 1. HNL': 7, 'Brasilero Serie D': 24, 'Spain Rfef Primera - Group 1': 4, 'Peru Liga 1': 2, 'Argentina Primera B Nacional': 4, 'Bundesliga (Women)': 11, 'Prince Cup': 6, 'Cyprus 1st Division': 3, 'Lega Pro Prima Divisione Playoff': 1, 'UEFA Europa Conference League': 1, 'NM Men Cupen': 1, 'Thai League': 5, 'Victorian (Premier League)': 3, 'Primera Division Femenina': 4, 'Azerbaijan Premier League': 2, 'Spain Rfef Primera - Group 2': 2, 'Kazakhstan Premier League': 1, 'Primera Division': 1, 'NWSL': 7, 'NPL Queensland': 1, 'Gambrinus Liga': 4, 'Super Lig': 4, 'Eliteserien': 4, 'AFC Champions League': 1, 'Serbia Super Liga': 1, 'First Division A': 2, 'Coupe de France': 1, 'J.League': 2, 'Viasat Sport Divisionen (1st Division)': 1, 'Adeccoligaen': 3, 'Unibet I liga': 1, 'England Championship': 1, 'Serie A': 1, 'UAE Arabian Gulf League': 6, 'Meistriliiga': 2, 'Pro League': 1, 'Brasilero Serie A': 1, 'Veikkausliiga': 1}",Asian Handicap,70.0,50.72,Brasilero Serie D,24.0,17.39
